Company Name,Website,Industry,Funding Stage,Description,Helix Fit Score,Why Helix Fits,Priority Score,Connection Score,Has Warm Intro,Best Connector,Connections Count,Status
XP Ticketing,xp.events,Ticketing,series_a,Modern event ticketing platform focused on fan experience and anti-scalping.,70,Bot Sorter prevents ticket scalping bots.,70,0,No,,0,new
Mythical Games,mythicalgames.com,Gaming/Blockchain,series_c,"Game studio: NFL Rivals, FIFA Rivals, Pudgy Party. Uses World ID.",50,Bot Sorter alternative to World ID for human verification.,50,0,No,,0,new
Shotgun,shotgun.live,Ticketing,series_a,Music event ticketing platform popular in Europe.,50,Anti-scalping bot protection.,50,0,No,,0,new
Fizz,fizzsocial.app,Social Network,series_a,College-only social network requiring .edu verification.,50,Age verification and bot prevention for authentic community.,50,0,No,,0,new
TicketMe,ticketme.jp,Ticketing/NFT,seed,,50,,50,0,No,,0,new
The Ticket Fairy,ticketfairy.com,Ticketing,seed,,50,,50,0,No,,0,new
Citizen Ticket,citizenticket.com,Ticketing,seed,,50,,50,0,No,,0,new
InEvent,inevent.com,Events,series_a,,50,,50,0,No,,0,new
Spyke Games,spykegames.com,Gaming,series_a,Mobile gaming studio focused on social games.,50,Bot prevention for fair play.,50,0,No,,0,new
GameRamp,gameramp.ai,Gaming,seed,,50,,50,0,No,,0,new
Social First,socialfirst.io,Gaming/Social,seed,,50,,50,0,No,,0,new
Posh,posh.dating,Dating,series_a,Premium dating app with curated profiles.,50,Identity verification to ensure authentic users.,50,0,No,,4,new
Cypher Games,cypher.games,Gaming,seed,,50,,50,0,No,,0,new
Talofa Games,talofagames.com,Gaming,seed,,50,,50,0,No,,0,new
Grand Games,grand.gs,Gaming,series_a,,50,,50,0,No,,0,new
Bigger Games,biggergames.io,Gaming,series_a,,50,,50,0,No,,0,new
Keeper,keeper.dating,Dating,seed,,50,,50,0,No,,0,new
YouMatch,youmatch.app,Dating,seed,,50,,50,0,No,,0,new
Hunch,hunch.dating,Social Discovery,series_a,,50,,50,0,No,,0,new
Iris Dating,irisdating.com,Dating,seed,,50,AI-powered dating,50,0,No,,0,new
Snack,snack.dating,Dating,seed,,50,Video-first dating,50,0,No,,0,new
TicketSwap,ticketswap.com,Ticketing,series_b,Fan-to-fan ticket exchange at fair prices.,50,Prevent reseller bots from cornering inventory.,50,0,No,,0,new
Gametime,gametime.co,Ticketing,series_d,Last-minute ticket marketplace with dynamic pricing.,50,Bot protection for fair ticket access.,50,0,No,,0,new
Hive Social,hivesocial.app,Social,seed,,50,Twitter alternative,50,0,No,,0,new
T2,t2.social,Social,seed,,50,Twitter alternative,50,0,No,,0,new
SeatGeek,seatgeek.com,Ticketing,series_e,Ticket search and marketplace platform.,30,Bot protection for inventory integrity.,30,0,No,,2,new
Self,self.ai,Identity/ZK,seed,Privacy-preserving proof-of-humanity using ZK proofs and biometric passports.,30,Potential partner - complementary identity verification tech.,30,0,No,,0,new
KarmaCheck,karmacheck.com,HR Tech,series_b,Modern background check platform for employment verification.,30,Voice Captcha for continuous auth in sensitive verification flows.,30,0,No,,0,new
Chime,chime.com,Neobank,series_g,Digital banking platform with no fees.,30,KYC identity verification for account opening.,30,0,No,,2,new
VenuePilot,venuepilot.co,Ticketing,seed,,30,,30,0,No,,0,new
Lapse,lapse.com,Social Network,series_a,,30,,30,0,No,,0,new
Bluesky,bsky.app,Social Network,series_a,,30,,30,0,No,,0,new
SpruceID,spruceid.com,Identity/Web3,seed,Web3 identity infrastructure (Sign-in with Ethereum).,30,Potential partner for decentralized identity.,30,0,No,,0,new
Claim,claim.co,Social Commerce,series_a,,30,,30,0,No,,0,new
Method Financial,methodfi.com,Fintech,series_a,,30,,30,0,No,,0,new
